asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery
B08HC5GMK2,Samsung Galaxy A11 32GB A115U Fully Unlocked Smartphones (Renewed),$89.88 ,$94.80 ,USD,4,1164,https://www.amazon.com/dp/B08HC5GMK2,https://m.media-amazon.com/images/I/51y-JGU66-L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$89.88 ,FALSE,FALSE,FALSE,TRUE,100+ bought in past month,"FREE delivery Wed, Mar 20 Only 10 left in stock - order soon."
B094FBCB2K,"Samsung Galaxy A12, Unlocked Smartphone, Android Cell Phone, Multi-Camera System, Expandable Storage, US Version, 32Gb, Black (Renewed)",$104.00 ,$141.00 ,USD,3.7,141,https://www.amazon.com/dp/B094FBCB2K,https://m.media-amazon.com/images/I/81t8kQP6OQL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$104.00 ,FALSE,FALSE,TRUE,TRUE,50+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B0CLLV68VK,Xiaomi Redmi Note 13 PRO 5G + 4G LTE (256GB + 8GB) 6.67&quot; 200MP Triple (Tmobile Mint Tello &amp; Global) Global Bands Unlocked + (Fast Car Dual Charger Bundle) (Midnight Black (Global ROM)),$312.69 ,$329.99 ,USD,4.6,29,https://www.amazon.com/dp/B0CLLV68VK,https://m.media-amazon.com/images/I/71nT5SE8iCL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$312.69 ,FALSE,FALSE,TRUE,FALSE,100+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B09GKXZCWY,"SAMSUNG Galaxy Z Flip 3 5G Factory Unlocked Android Cell Phone US Version Smartphone Flex Mode Intuitive Camera Compact 128GB Storage US Warranty, Green (Renewed)",$227.27 ,$744.98 ,USD,4,254,https://www.amazon.com/dp/B09GKXZCWY,https://m.media-amazon.com/images/I/71rK4lbCPLL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$227.27 ,FALSE,FALSE,FALSE,TRUE,100+ bought in past month,"FREE delivery Wed, Mar 20 Only 1 left in stock - order soon."
B0BV5SV5HL,Samsung Galaxy S23 Ultra 5G SM-S918B/DS Dual SIM 256GB ROM 8GB RAM GSM Factory Unlocked Global Model (Mobile Cell Phone) (Phantom Green),$856.00 ,$898.95 ,USD,4.4,529,https://www.amazon.com/dp/B0BV5SV5HL,https://m.media-amazon.com/images/I/51mH1rGI3lL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$856.00 ,FALSE,FALSE,FALSE,FALSE,500+ bought in past month,FREE delivery Mar 21 - 25 Or fastest delivery Mar 20 - 22
B07RL93F7T,SAMSUNG Galaxy A50 SM-A505G 64GB 4GB RAM 25 MP 6.4&quot; Factory Unlocked- Black (Renewed),$121.88 ,$279.99 ,USD,4.1,958,https://www.amazon.com/dp/B07RL93F7T,https://m.media-amazon.com/images/I/71aVjicqCGL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$121.88 ,FALSE,FALSE,TRUE,TRUE,100+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B08XLYY4TW,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom White - Unlocked (Renewed)",$214.82 ,$238.00 ,USD,4.1,834,https://www.amazon.com/dp/B08XLYY4TW,https://m.media-amazon.com/images/I/61E+oCHJsHS._AC_SX444_SY639_FMwebp_QL65_.jpg,,$214.82 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,"FREE delivery Wed, Mar 20 Only 1 left in stock - order soon."
B0BN733951,"Apple iPhone 14, 128GB, Blue - Unlocked (Renewed)",$495.91 ,$549.99 ,USD,4.2,1484,https://www.amazon.com/dp/B0BN733951,https://m.media-amazon.com/images/I/61ufE2FHl7L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$495.91 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,FREE delivery Mar 19 - 20 Only 15 left in stock - order soon.
B08XLYY4TW,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom White - Unlocked (Renewed)",$214.82 ,$238.00 ,USD,4.1,834,https://www.amazon.com/dp/B08XLYY4TW,https://m.media-amazon.com/images/I/61E+oCHJsHS._AC_SX444_SY639_FMwebp_QL65_.jpg,,$214.82 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,"FREE delivery Wed, Mar 20 Only 1 left in stock - order soon."
B08PMLLQ6P,"Samsung Galaxy A71 5G (128GB, 6GB) 6.7&quot; AMOLED+, Snapdragon 765G, 4500mAh Battery, Global 5G Volte GSM AT&amp;T Unlocked (T-Mobile, Metro, Straight Talk) US Warranty A716U (Prism Cube Black)",$258.72 ,$299.99 ,USD,3.6,504,https://www.amazon.com/dp/B08PMLLQ6P,https://m.media-amazon.com/images/I/61kx4uQ9c-L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$258.72 ,FALSE,FALSE,TRUE,FALSE,,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B0BN733951,"Apple iPhone 14, 128GB, Blue - Unlocked (Renewed)",$495.91 ,$549.99 ,USD,4.2,1484,https://www.amazon.com/dp/B0BN733951,https://m.media-amazon.com/images/I/61ufE2FHl7L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$495.91 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,FREE delivery Mar 19 - 20 Only 15 left in stock - order soon.
